id,name,name_en,description,description_en,full_video_url,full_video_image_url,introduction,introduction_en,slug,slug_en,attribute_name,attribute_value
1,"Pompes classiques","Standard Push-Up","<p><strong>Allongez-vous</strong> face contre terre et poussez avec vos mains pour soulever votre corps.</p>","<p><strong>Lie</strong> face down and push with your hands to lift your body.</p>",https://www.youtube.com/watch?v=Q7wFvP6ivGU,https://img.youtube.com/vi/Q7wFvP6ivGU/maxresdefault.jpg,"Un exercice de base pour le haut du corps.","A basic upper body exercise.","pompes-classiques","standard-push-up",TYPE,STRENGTH
1,"Pompes classiques","Standard Push-Up","<p><strong>Allongez-vous</strong> face contre terre et poussez avec vos mains pour soulever votre corps.</p>","<p><strong>Lie</strong> face down and push with your hands to lift your body.</p>",https://www.youtube.com/watch?v=Q7wFvP6ivGU,https://img.youtube.com/vi/Q7wFvP6ivGU/maxresdefault.jpg,"Un exercice de base pour le haut du corps.","A basic upper body exercise.","pompes-classiques","standard-push-up",PRIMARY_MUSCLE,CHEST
1,"Pompes classiques","Standard Push-Up","<p><strong>Allongez-vous</strong> face contre terre et poussez avec vos mains pour soulever votre corps.</p>","<p><strong>Lie</strong> face down and push with your hands to lift your body.</p>",https://www.youtube.com/watch?v=Q7wFvP6ivGU,https://img.youtube.com/vi/Q7wFvP6ivGU/maxresdefault.jpg,"Un exercice de base pour le haut du corps.","A basic upper body exercise.","pompes-classiques","standard-push-up",SECONDARY_MUSCLE,TRICEPS
1,"Pompes classiques","Standard Push-Up","<p><strong>Allongez-vous</strong> face contre terre et poussez avec vos mains pour soulever votre corps.</p>","<p><strong>Lie</strong> face down and push with your hands to lift your body.</p>",https://www.youtube.com/watch?v=Q7wFvP6ivGU,https://img.youtube.com/vi/Q7wFvP6ivGU/maxresdefault.jpg,"Un exercice de base pour le haut du corps.","A basic upper body exercise.","pompes-classiques","standard-push-up",EQUIPMENT,BODYWEIGHT
1,"Pompes classiques","Standard Push-Up","<p><strong>Allongez-vous</strong> face contre terre et poussez avec vos mains pour soulever votre corps.</p>","<p><strong>Lie</strong> face down and push with your hands to lift your body.</p>",https://www.youtube.com/watch?v=Q7wFvP6ivGU,https://img.youtube.com/vi/Q7wFvP6ivGU/maxresdefault.jpg,"Un exercice de base pour le haut du corps.","A basic upper body exercise.","pompes-classiques","standard-push-up",MECHANICS_TYPE,COMPOUND
2,"Squat avec barre","Barbell Squat","<p><em>Tenez la barre</em> sur vos épaules et pliez vos genoux pour descendre.</p>","<p><em>Hold the barbell</em> on your shoulders and bend your knees to lower down.</p>",https://www.youtube.com/watch?v=E5N0nP3fFYY,https://img.youtube.com/vi/E5N0nP3fFYY/maxresdefault.jpg,"Renforcez vos jambes et fessiers.","Strengthens legs and glutes.","squat-avec-barre","barbell-squat",TYPE,STRENGTH
2,"Squat avec barre","Barbell Squat","<p><em>Tenez la barre</em> sur vos épaules et pliez vos genoux pour descendre.</p>","<p><em>Hold the barbell</em> on your shoulders and bend your knees to lower down.</p>",https://www.youtube.com/watch?v=E5N0nP3fFYY,https://img.youtube.com/vi/E5N0nP3fFYY/maxresdefault.jpg,"Renforcez vos jambes et fessiers.","Strengthens legs and glutes.","squat-avec-barre","barbell-squat",PRIMARY_MUSCLE,QUADRICEPS
2,"Squat avec barre","Barbell Squat","<p><em>Tenez la barre</em> sur vos épaules et pliez vos genoux pour descendre.</p>","<p><em>Hold the barbell</em> on your shoulders and bend your knees to lower down.</p>",https://www.youtube.com/watch?v=E5N0nP3fFYY,https://img.youtube.com/vi/E5N0nP3fFYY/maxresdefault.jpg,"Renforcez vos jambes et fessiers.","Strengthens legs and glutes.","squat-avec-barre","barbell-squat",SECONDARY_MUSCLE,GLUTES
2,"Squat avec barre","Barbell Squat","<p><em>Tenez la barre</em> sur vos épaules et pliez vos genoux pour descendre.</p>","<p><em>Hold the barbell</em> on your shoulders and bend your knees to lower down.</p>",https://www.youtube.com/watch?v=E5N0nP3fFYY,https://img.youtube.com/vi/E5N0nP3fFYY/maxresdefault.jpg,"Renforcez vos jambes et fessiers.","Strengthens legs and glutes.","squat-avec-barre","barbell-squat",EQUIPMENT,BARBELL
2,"Squat avec barre","Barbell Squat","<p><em>Tenez la barre</em> sur vos épaules et pliez vos genoux pour descendre.</p>","<p><em>Hold the barbell</em> on your shoulders and bend your knees to lower down.</p>",https://www.youtube.com/watch?v=E5N0nP3fFYY,https://img.youtube.com/vi/E5N0nP3fFYY/maxresdefault.jpg,"Renforcez vos jambes et fessiers.","Strengthens legs and glutes.","squat-avec-barre","barbell-squat",MECHANICS_TYPE,COMPOUND
3,"Fentes avant","Forward Lunge","<p>Faites un <strong>grand pas</strong> en avant et pliez les deux genoux.</p>","<p>Take a <strong>big step</strong> forward and bend both knees.</p>",https://www.youtube.com/watch?v=XaVtSH1h1qg,https://img.youtube.com/vi/XaVtSH1h1qg/maxresdefault.jpg,"Travaille l'équilibre et la force des jambes.","Works balance and leg strength.","fentes-avant","forward-lunge",TYPE,STRENGTH
3,"Fentes avant","Forward Lunge","<p>Faites un <strong>grand pas</strong> en avant et pliez les deux genoux.</p>","<p>Take a <strong>big step</strong> forward and bend both knees.</p>",https://www.youtube.com/watch?v=XaVtSH1h1qg,https://img.youtube.com/vi/XaVtSH1h1qg/maxresdefault.jpg,"Travaille l'équilibre et la force des jambes.","Works balance and leg strength.","fentes-avant","forward-lunge",PRIMARY_MUSCLE,QUADRICEPS
3,"Fentes avant","Forward Lunge","<p>Faites un <strong>grand pas</strong> en avant et pliez les deux genoux.</p>","<p>Take a <strong>big step</strong> forward and bend both knees.</p>",https://www.youtube.com/watch?v=XaVtSH1h1qg,https://img.youtube.com/vi/XaVtSH1h1qg/maxresdefault.jpg,"Travaille l'équilibre et la force des jambes.","Works balance and leg strength.","fentes-avant","forward-lunge",SECONDARY_MUSCLE,GLUTES
3,"Fentes avant","Forward Lunge","<p>Faites un <strong>grand pas</strong> en avant et pliez les deux genoux.</p>","<p>Take a <strong>big step</strong> forward and bend both knees.</p>",https://www.youtube.com/watch?v=XaVtSH1h1qg,https://img.youtube.com/vi/XaVtSH1h1qg/maxresdefault.jpg,"Travaille l'équilibre et la force des jambes.","Works balance and leg strength.","fentes-avant","forward-lunge",EQUIPMENT,BODYWEIGHT
3,"Fentes avant","Forward Lunge","<p>Faites un <strong>grand pas</strong> en avant et pliez les deux genoux.</p>","<p>Take a <strong>big step</strong> forward and bend both knees.</p>",https://www.youtube.com/watch?v=XaVtSH1h1qg,https://img.youtube.com/vi/XaVtSH1h1qg/maxresdefault.jpg,"Travaille l'équilibre et la force des jambes.","Works balance and leg strength.","fentes-avant","forward-lunge",MECHANICS_TYPE,COMPOUND
4,"Tractions pronation","Pull-Up","<p>Saisissez la barre en pronation et tirez votre corps vers le haut.</p>","<p>Grab the bar with an overhand grip and pull your body up.</p>",https://www.youtube.com/watch?v=GHF6X1nQ1OY,https://img.youtube.com/vi/GHF6X1nQ1OY/maxresdefault.jpg,"Un exercice complet pour le dos.","A complete back exercise.","tractions-pronation","pull-up",TYPE,STRENGTH
4,"Tractions pronation","Pull-Up","<p>Saisissez la barre en pronation et tirez votre corps vers le haut.</p>","<p>Grab the bar with an overhand grip and pull your body up.</p>",https://www.youtube.com/watch?v=GHF6X1nQ1OY,https://img.youtube.com/vi/GHF6X1nQ1OY/maxresdefault.jpg,"Un exercice complet pour le dos.","A complete back exercise.","tractions-pronation","pull-up",PRIMARY_MUSCLE,BACK
4,"Tractions pronation","Pull-Up","<p>Saisissez la barre en pronation et tirez votre corps vers le haut.</p>","<p>Grab the bar with an overhand grip and pull your body up.</p>",https://www.youtube.com/watch?v=GHF6X1nQ1OY,https://img.youtube.com/vi/GHF6X1nQ1OY/maxresdefault.jpg,"Un exercice complet pour le dos.","A complete back exercise.","tractions-pronation","pull-up",SECONDARY_MUSCLE,BICEPS
